trip_id,service_id,route_id,trip_headsign,direction_id,shape_id
4503599629230145,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599629230147,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599629230149,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599629230151,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599629230153,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599629230155,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599629230177,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599629230185,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599629230187,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599629230189,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599629230191,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599629230193,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599629230195,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599629230199,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599629560004,4503599629560004,11821949023946612,Pech David TOULOUSE,1,4503599629560004
4503599629560006,4503599629560004,11821949023946612,Pech David TOULOUSE,1,4503599629560004
4503599629560008,4503599629560004,11821949023946612,Pech David TOULOUSE,1,4503599629560004
4503599629560010,4503599629560004,11821949023946612,Pech David TOULOUSE,1,4503599629560004
4503599629560012,4503599629560004,11821949023946612,Pech David TOULOUSE,1,4503599629560004
4503599629560016,4503599629560004,11821949023946612,Pech David TOULOUSE,1,4503599629560004
4503599629560018,4503599629560004,11821949023946612,Pech David TOULOUSE,1,4503599629560004
4503599629560036,4503599629560004,11821949023946612,Saint Agne - SNCF TOULOUSE,0,4503599629560036
4503599629560038,4503599629560004,11821949023946612,Saint Agne - SNCF TOULOUSE,0,4503599629560036
4503599629560040,4503599629560004,11821949023946612,Saint Agne - SNCF TOULOUSE,0,4503599629560036
4503599629560042,4503599629560004,11821949023946612,Saint Agne - SNCF TOULOUSE,0,4503599629560036
4503599629560044,4503599629560004,11821949023946612,Saint Agne - SNCF TOULOUSE,0,4503599629560036
4503599629560048,4503599629560004,11821949023946612,Saint Agne - SNCF TOULOUSE,0,4503599629560036
4503599629560050,4503599629560004,11821949023946612,Saint Agne - SNCF TOULOUSE,0,4503599629560036
4503599630373526,4503599629560004,11821949023946612,Pech David TOULOUSE,1,4503599629560004
4503599630373528,4503599629560004,11821949023946612,Saint Agne - SNCF TOULOUSE,0,4503599629560036
4503599630772590,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772592,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772594,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772596,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772598,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772600,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772602,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772604,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772606,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772608,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772610,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772612,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772614,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772618,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599630772620,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599630772622,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599630772624,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599630772626,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599630772630,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599630772632,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599630772634,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599630772636,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599630772638,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599630772640,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599630772642,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599630773886,4503599629560004,11821949021891677,Varennes En Clavi̩ VARENNES,1,4503599630773886
4503599630773888,4503599629560004,11821949021891677,Varennes En Clavi̩ VARENNES,1,4503599630773886
4503599630773890,4503599629560004,11821949021891677,Varennes En Clavi̩ VARENNES,1,4503599630773886
4503599630773892,4503599629560004,11821949021891677,Varennes En Clavi̩ VARENNES,1,4503599630773886
4503599630773894,4503599629560004,11821949021891677,Varennes En Clavi̩ VARENNES,1,4503599630773886
4503599630773896,4503599629560004,11821949021891677,Varennes En Clavi̩ VARENNES,1,4503599630773886
4503599630773898,4503599629560004,11821949021891677,Varennes En Clavi̩ VARENNES,1,4503599630773886
4503599630773900,4503599629560004,11821949021891677,Varennes En Clavi̩ VARENNES,1,4503599630773886
4503599630773902,4503599629560004,11821949021891677,Varennes En Clavi̩ VARENNES,1,4503599630773886
4503599630773904,4503599629560004,11821949021891677,Varennes En Clavi̩ VARENNES,1,4503599630773886
4503599630773906,4503599629560004,11821949021891677,Saint Orens Lyc̩e SAINT-ORENS-DE-GAMEVILLE,0,4503599630773906
4503599630773908,4503599629560004,11821949021891677,Saint Orens Lyc̩e SAINT-ORENS-DE-GAMEVILLE,0,4503599630773906
4503599630773912,4503599629560004,11821949021891677,Saint Orens Lyc̩e SAINT-ORENS-DE-GAMEVILLE,0,4503599630773906
4503599630773914,4503599629560004,11821949021891677,Saint Orens Lyc̩e SAINT-ORENS-DE-GAMEVILLE,0,4503599630773906
4503599630773916,4503599629560004,11821949021891677,Saint Orens Lyc̩e SAINT-ORENS-DE-GAMEVILLE,0,4503599630773906
4503599630773918,4503599629560004,11821949021891677,Saint Orens Lyc̩e SAINT-ORENS-DE-GAMEVILLE,0,4503599630773906
4503599630773920,4503599629560004,11821949021891677,Saint Orens Lyc̩e SAINT-ORENS-DE-GAMEVILLE,0,4503599630773906
4503599630773922,4503599629560004,11821949021891677,Saint Orens Lyc̩e SAINT-ORENS-DE-GAMEVILLE,0,4503599630773906
4503599630773924,4503599629560004,11821949021891677,Saint Orens Lyc̩e SAINT-ORENS-DE-GAMEVILLE,0,4503599630773906
4503599630773926,4503599629560004,11821949021891677,Saint Orens Lyc̩e SAINT-ORENS-DE-GAMEVILLE,0,4503599630773906
4503599630810388,4503599629560004,11821949021891678,Roumieu MONTBRUN-LAURAGAIS,1,4503599630810388
4503599630810390,4503599629560004,11821949021891678,Roumieu MONTBRUN-LAURAGAIS,1,4503599630810388
4503599630810392,4503599629560004,11821949021891678,Roumieu MONTBRUN-LAURAGAIS,1,4503599630810388
4503599630810394,4503599629560004,11821949021891678,Roumieu MONTBRUN-LAURAGAIS,1,4503599630810388
4503599630810396,4503599629560004,11821949021891678,Roumieu MONTBRUN-LAURAGAIS,1,4503599630810388
4503599630810398,4503599629560004,11821949021891678,Roumieu MONTBRUN-LAURAGAIS,1,4503599630810388
4503599630810400,4503599629560004,11821949021891678,Roumieu MONTBRUN-LAURAGAIS,1,4503599630810388
4503599630810402,4503599629560004,11821949021891678,Roumieu MONTBRUN-LAURAGAIS,1,4503599630810388
4503599630810404,4503599629560004,11821949021891678,Roumieu MONTBRUN-LAURAGAIS,1,4503599630810388
4503599630810406,4503599629560004,11821949021891678,Roumieu MONTBRUN-LAURAGAIS,1,4503599630810388
4503599630810429,4503599629560004,11821949021891678,Castanet-Tolosan CASTANET-TOLOSAN,0,4503599630810429
4503599630810431,4503599629560004,11821949021891678,Castanet-Tolosan CASTANET-TOLOSAN,0,4503599630810429
4503599630810433,4503599629560004,11821949021891678,Castanet-Tolosan CASTANET-TOLOSAN,0,4503599630810429
4503599630810435,4503599629560004,11821949021891678,Castanet-Tolosan CASTANET-TOLOSAN,0,4503599630810429
4503599630810437,4503599629560004,11821949021891678,Castanet-Tolosan CASTANET-TOLOSAN,0,4503599630810429
4503599630810439,4503599629560004,11821949021891678,Castanet-Tolosan CASTANET-TOLOSAN,0,4503599630810429
4503599630810441,4503599629560004,11821949021891678,Castanet-Tolosan CASTANET-TOLOSAN,0,4503599630810429
4503599630810443,4503599629560004,11821949021891678,Castanet-Tolosan CASTANET-TOLOSAN,0,4503599630810429
4503599630810445,4503599629560004,11821949021891678,Castanet-Tolosan CASTANET-TOLOSAN,0,4503599630810429
4503599630810447,4503599629560004,11821949021891678,Castanet-Tolosan CASTANET-TOLOSAN,0,4503599630810429
4503599631491877,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491878,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491879,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491880,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491881,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491882,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491883,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491884,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491885,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491886,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491887,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491888,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491889,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491890,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491891,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491892,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491893,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491894,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491895,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491896,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491897,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491898,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491899,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491900,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491901,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491902,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491903,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491904,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491905,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491906,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491907,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
